ID,GENDER,JOB,A0101,A0102,A0103,A0104,A0105,A0106,A0201,A0202,A0203,A0204,A0205,A0206,A0301,A0302,A0303,A0304,A0401,A0402,A0403,B0101,B0102,B0103,B0104,B0105,B0106,B0107,B0108,B0201,B0202,B0203,B0204,B0205,B0206,B0301,B0302,B0303,B0304,B0401,B0402,B0403,C0101,C0102,C0103,C0104,C0105,C0106,C0107,C0201,C0202,C0203,C0204,C0205,C0301,C0302,C0303,C0304,C0401,C0402,C0403,C0404
C2303,2,4,2,2,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
C2305,2,2,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3
C2306,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2402,2,4,3,3,3,3,3,2,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
C2403,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3
C2405,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C2406,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2501,2,1,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,2,3,4,3,4,2,3,4,4,3,3,4,4,4,4,4,4,3,3,4
C2504,2,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,4,3,3,4,3,4,4,4,3,3,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
C2505,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2506,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
C2507,2,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
C2602,2,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,4,4,4
C2604,2,3,3,2,3,2,2,2,3,4,3,3,3,3,2,2,3,2,3,2,3,2,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,4,3,3,3,2,3,3,4,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,3
C2606,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
